team,season,player_name,position,games_played,goals,assists,points,ppg,toi_per_game,is_star
COL,2024,Nathan MacKinnon,C,82,51,89,140,1.71,22.5,1
COL,2024,Mikko Rantanen,RW,81,42,62,104,1.28,20.8,1
COL,2024,Cale Makar,D,78,21,68,89,1.14,25.2,1
FLA,2024,Aleksander Barkov,C,73,23,57,80,1.10,20.5,1
FLA,2024,Matthew Tkachuk,LW,78,31,55,86,1.10,19.8,1
FLA,2024,Sam Reinhart,C,82,57,37,94,1.15,19.2,1
VGK,2024,Jack Eichel,C,82,31,67,98,1.20,20.2,1
VGK,2024,Mark Stone,RW,56,18,38,56,1.00,18.4,1
EDM,2024,Connor McDavid,C,76,32,68,100,1.32,22.0,1
EDM,2024,Leon Draisaitl,C,81,41,65,106,1.31,21.8,1
DAL,2024,Jason Robertson,LW,82,29,51,80,0.98,18.5,1
DAL,2024,Roope Hintz,C,78,30,35,65,0.83,18.2,1
NYR,2024,Artemi Panarin,LW,82,49,71,120,1.46,19.8,1
NYR,2024,Adam Fox,D,74,17,56,73,0.99,24.5,1
CAR,2024,Sebastian Aho,C,82,31,58,89,1.09,20.2,1
CAR,2024,Andrei Svechnikov,RW,82,28,41,69,0.84,18.5,1
TOR,2024,Auston Matthews,C,69,36,34,70,1.01,20.8,1
TOR,2024,Mitch Marner,RW,82,26,59,85,1.04,20.5,1
TB,2024,Nikita Kucherov,RW,81,44,56,100,1.23,19.8,1
TB,2024,Brayden Point,C,80,46,44,90,1.13,18.5,1
BOS,2024,David Pastrnak,RW,82,47,63,110,1.34,19.2,1
BOS,2024,Brad Marchand,LW,74,29,38,67,0.91,18.5,1
MIN,2024,Kirill Kaprizov,LW,82,46,50,96,1.17,20.5,1
WSH,2024,Alex Ovechkin,LW,79,31,34,65,0.82,18.2,1
PIT,2024,Sidney Crosby,C,82,42,52,94,1.15,20.5,1
PIT,2024,Evgeni Malkin,C,82,25,42,67,0.82,18.0,1
VAN,2024,Elias Pettersson,C,82,34,55,89,1.09,20.2,1
VAN,2024,JT Miller,C,81,37,66,103,1.27,20.8,1
WPG,2024,Kyle Connor,LW,82,34,49,83,1.01,19.8,1
BUF,2024,Tage Thompson,C,82,29,55,84,1.02,20.2,1
CGY,2024,Jonathan Huberdeau,LW,82,22,30,52,0.63,18.5,0
STL,2024,Robert Thomas,C,82,28,58,86,1.05,19.8,1
OTT,2024,Tim Stutzle,C,82,31,47,78,0.95,19.5,1
NJ,2024,Jack Hughes,C,62,27,47,74,1.19,19.8,1
DET,2024,Dylan Larkin,C,82,31,50,81,0.99,20.2,1
ANA,2024,Troy Terry,RW,78,24,34,58,0.74,18.2,0
CHI,2024,Connor Bedard,C,68,22,39,61,0.90,18.5,1
SJ,2024,Tomas Hertl,C,82,22,38,60,0.73,18.2,0
LA,2024,Anze Kopitar,C,82,25,50,75,0.91,20.5,1
NSH,2024,Filip Forsberg,LW,69,24,30,54,0.78,18.2,1
MTL,2024,Nick Suzuki,C,82,27,50,77,0.94,19.8,1
PHI,2024,Travis Konecny,RW,82,33,35,68,0.83,18.5,1
NYI,2024,Mathew Barzal,C,73,23,52,75,1.03,20.2,1
CBJ,2024,Johnny Gaudreau,LW,81,12,48,60,0.74,18.5,0
SEA,2024,Jared McCann,C,76,27,37,64,0.84,18.2,1
