team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
COL,2023,+450,0.182,−400,0.800,1,0
TOR,2023,+700,0.125,−350,0.778,1,0
BOS,2023,+800,0.111,−300,0.750,1,0
CAR,2023,+900,0.100,−280,0.737,1,0
TBL,2023,+1000,0.091,−250,0.714,1,0
EDM,2023,+1000,0.091,−280,0.737,1,0
NYR,2023,+1200,0.077,−220,0.688,1,0
VGK,2023,+1400,0.067,−180,0.643,1,1
DAL,2023,+1400,0.067,−200,0.667,1,0
NJD,2023,+1600,0.059,−180,0.643,1,0
MIN,2023,+1800,0.053,−160,0.615,1,0
PIT,2023,+2000,0.048,−140,0.583,0,0
FLA,2023,+2000,0.048,−130,0.565,1,0
WPG,2023,+2200,0.043,−120,0.545,1,0
LAK,2023,+2500,0.038,−110,0.524,1,0
NSH,2023,+2500,0.038,+100,0.500,0,0
STL,2023,+2800,0.034,+110,0.476,0,0
WSH,2023,+3000,0.032,+120,0.455,0,0
NYI,2023,+3000,0.032,+130,0.435,1,0
SEA,2023,+3500,0.028,+140,0.417,1,0
BUF,2023,+3500,0.028,+150,0.400,0,0
DET,2023,+4000,0.024,+160,0.385,0,0
OTT,2023,+5000,0.020,+180,0.357,0,0
PHI,2023,+6000,0.016,+220,0.313,0,0
VAN,2023,+6000,0.016,+250,0.286,0,0
CGY,2023,+6000,0.016,+200,0.333,0,0
MTL,2023,+10000,0.010,+350,0.222,0,0
CHI,2023,+12000,0.008,+400,0.200,0,0
ARI,2023,+12000,0.008,+350,0.222,0,0
ANA,2023,+15000,0.007,+450,0.182,0,0
CBJ,2023,+15000,0.007,+400,0.200,0,0
SJ,2023,+20000,0.005,+500,0.167,0,0
