team,season,last_10_wins,last_20_wins,current_streak
ANA,2013,8,11,4
ARI,2013,6,6,2
BOS,2013,7,13,6
BUF,2013,3,9,1
CGY,2013,6,10,0
CAR,2013,6,10,1
CHI,2013,7,17,7
COL,2013,5,8,1
CBJ,2013,5,9,0
DAL,2013,2,7,2
DET,2013,5,14,4
EDM,2013,4,10,3
FLA,2013,6,11,-3
LAK,2013,5,12,2
MIN,2013,5,10,5
MTL,2013,6,11,1
NSH,2013,4,5,-4
NJD,2013,3,11,-1
NYI,2013,6,12,4
NYR,2013,7,12,5
OTT,2013,8,13,5
PHI,2013,3,7,-1
PIT,2013,5,14,5
SJS,2013,7,10,5
STL,2013,8,13,5
TBL,2013,6,8,-1
TOR,2013,7,11,2
VAN,2013,6,14,4
WSH,2013,5,14,4
WPG,2013,4,9,-4
