team,team_name,season,games_played,wins,losses,ot_losses,points,points_pct,goals_for,goals_against,goal_differential,home_wins,home_losses,home_ot_losses,away_wins,away_losses,away_ot_losses,made_playoffs,won_cup
BOS,Boston Bruins,2023,82,65,12,5,135,0.823,326,177,149,36,3,2,29,9,3,1,0
CAR,Carolina Hurricanes,2023,82,52,21,9,113,0.689,265,197,68,29,7,5,23,14,4,1,0
NJ,New Jersey Devils,2023,82,52,22,8,112,0.683,291,217,74,29,9,3,23,13,5,1,0
TOR,Toronto Maple Leafs,2023,82,50,21,11,111,0.677,275,223,52,27,9,5,23,12,6,1,0
NYR,New York Rangers,2023,82,47,22,13,107,0.652,266,220,46,26,9,6,21,13,7,1,0
TB,Tampa Bay Lightning,2023,82,46,30,6,98,0.598,276,252,24,25,14,2,21,16,4,1,0
FLA,Florida Panthers,2023,82,42,32,8,92,0.561,271,270,1,24,14,3,18,18,5,1,0
NYI,New York Islanders,2023,82,42,31,9,93,0.567,243,235,8,23,14,4,19,17,5,1,0
VGK,Vegas Golden Knights,2023,82,51,22,9,111,0.677,270,216,54,28,8,5,23,14,4,1,1
EDM,Edmonton Oilers,2023,82,50,23,9,109,0.665,318,256,62,27,11,3,23,12,6,1,0
COL,Colorado Avalanche,2023,82,51,24,7,109,0.665,286,235,51,29,8,4,22,16,3,1,0
DAL,Dallas Stars,2023,82,47,21,14,108,0.659,259,199,60,25,10,6,22,11,8,1,0
MIN,Minnesota Wild,2023,82,46,25,11,103,0.628,244,217,27,27,11,3,19,14,8,1,0
SEA,Seattle Kraken,2023,82,46,28,8,100,0.610,275,245,30,27,12,2,19,16,6,1,0
WPG,Winnipeg Jets,2023,82,46,33,3,95,0.579,246,221,25,25,15,1,21,18,2,1,0
LA,Los Angeles Kings,2023,82,47,25,10,104,0.634,282,261,21,26,10,5,21,15,5,1,0
PIT,Pittsburgh Penguins,2023,82,40,31,11,91,0.555,258,254,4,22,16,3,18,15,8,0,0
BUF,Buffalo Sabres,2023,82,42,33,7,91,0.555,301,290,11,22,16,3,20,17,4,0,0
OTT,Ottawa Senators,2023,82,39,35,8,86,0.524,263,265,-2,23,14,4,16,21,4,0,0
CGY,Calgary Flames,2023,82,38,27,17,93,0.567,235,230,5,20,12,9,18,15,8,0,0
DET,Detroit Red Wings,2023,82,35,37,10,80,0.488,241,270,-29,18,18,5,17,19,5,0,0
NSH,Nashville Predators,2023,82,42,32,8,92,0.561,248,246,2,24,13,4,18,19,4,0,0
STL,St. Louis Blues,2023,82,37,38,7,81,0.494,254,280,-26,20,18,3,17,20,4,0,0
WSH,Washington Capitals,2023,82,35,37,10,80,0.488,245,266,-21,17,20,4,18,17,6,0,0
PHI,Philadelphia Flyers,2023,82,31,38,13,75,0.457,221,270,-49,17,18,6,14,20,7,0,0
VAN,Vancouver Canucks,2023,82,38,37,7,83,0.506,266,278,-12,21,16,4,17,21,3,0,0
ARI,Arizona Coyotes,2023,82,28,40,14,70,0.427,217,283,-66,15,20,6,13,20,8,0,0
MTL,Montreal Canadiens,2023,82,31,45,6,68,0.415,227,298,-71,16,23,2,15,22,4,0,0
SJ,San Jose Sharks,2023,82,23,44,15,61,0.372,220,311,-91,14,21,6,9,23,9,0,0
CHI,Chicago Blackhawks,2023,82,26,49,7,59,0.360,196,305,-109,13,25,3,13,24,4,0,0
ANA,Anaheim Ducks,2023,82,23,47,12,58,0.354,197,327,-130,13,23,5,10,24,7,0,0
CBJ,Columbus Blue Jackets,2023,82,25,48,9,59,0.360,210,314,-104,14,23,4,11,25,5,0,0
