team,season,situation,cf_pct,ff_pct,xgf,xga,xgf_pct,hdcf_pct,shooting_pct,save_pct,pdo,gsax,pp_pct,pk_pct
TBL,2019,all,54.2,53.8,280,205,57.7,55.1,11.2,0.921,103.3,18.5,28.2,85.1
CGY,2019,all,52.1,52.4,252,218,53.6,52.8,10.5,0.912,101.7,8.2,23.6,81.4
BOS,2019,all,53.5,53.2,238,198,54.6,53.9,9.8,0.919,101.7,15.2,25.9,84.2
WSH,2019,all,50.8,51.2,248,225,52.4,51.3,10.4,0.910,100.4,4.8,22.2,79.8
NYI,2019,all,47.2,47.5,208,195,51.6,48.2,10.1,0.924,101.5,22.4,17.2,84.8
SJS,2019,all,52.8,52.5,255,232,52.4,52.1,10.2,0.908,99.0,2.1,22.4,81.2
TOR,2019,all,51.5,51.8,262,238,52.4,51.4,10.1,0.907,99.8,1.5,22.8,78.5
NSH,2019,all,51.2,51.5,225,208,52.0,51.8,9.5,0.916,100.6,10.2,19.5,82.4
WPG,2019,all,52.4,52.1,248,228,52.1,52.5,10.2,0.910,100.2,4.5,24.1,80.8
STL,2019,all,50.5,50.8,228,212,51.8,50.9,9.8,0.915,100.3,8.8,21.8,82.5
CAR,2019,all,53.8,53.5,232,208,52.7,53.2,9.6,0.916,100.2,11.5,18.8,83.5
PIT,2019,all,51.2,51.5,252,228,52.5,51.8,10.0,0.909,99.9,2.8,22.5,80.1
COL,2019,all,49.5,49.8,235,228,50.8,49.2,10.2,0.906,99.8,0.5,17.8,78.2
DAL,2019,all,50.8,50.5,198,192,50.8,51.2,9.2,0.918,100.0,12.5,18.5,83.8
CBJ,2019,all,51.5,51.2,238,218,52.2,51.4,9.8,0.912,99.8,6.2,21.2,81.5
VGK,2019,all,51.8,51.5,232,218,51.5,51.2,9.8,0.909,99.7,3.5,22.5,79.8
MIN,2019,all,48.5,48.8,198,218,47.6,48.2,9.5,0.907,98.2,-2.5,18.2,80.2
ARI,2019,all,49.2,49.5,195,205,48.8,48.8,9.8,0.910,99.8,4.2,16.5,81.5
FLA,2019,all,49.8,50.2,245,258,48.7,49.5,10.2,0.902,99.4,-5.2,21.8,77.5
PHI,2019,all,48.2,48.5,228,248,47.9,48.5,9.8,0.902,98.0,-6.5,18.5,78.2
VAN,2019,all,47.5,47.8,208,235,46.9,47.2,9.5,0.905,98.0,-4.8,17.2,79.5
EDM,2019,all,48.8,49.2,218,252,46.4,48.5,9.6,0.898,97.4,-8.5,18.8,76.2
BUF,2019,all,47.8,48.2,212,248,46.1,47.5,9.6,0.900,97.6,-7.2,17.5,77.8
MTL,2019,all,50.2,50.5,232,222,51.1,50.8,9.7,0.907,99.4,1.8,19.2,80.5
DET,2019,all,46.5,46.8,208,252,45.2,46.2,9.8,0.898,97.6,-9.8,16.8,76.5
ANA,2019,all,47.2,47.5,185,228,44.8,46.8,9.5,0.902,97.7,-6.2,15.8,78.5
CHI,2019,all,48.5,48.8,248,268,48.1,48.2,10.0,0.896,99.6,-10.5,19.5,75.2
NYR,2019,all,47.8,48.2,212,248,46.1,47.5,9.7,0.898,97.5,-8.2,18.2,77.2
NJD,2019,all,46.8,47.2,205,252,44.9,46.5,9.5,0.897,97.2,-9.5,16.5,76.8
OTT,2019,all,45.5,45.8,218,278,43.9,45.2,9.8,0.890,97.8,-15.2,17.8,74.5
LAK,2019,all,46.2,46.5,188,238,44.1,45.8,9.4,0.902,97.6,-5.8,15.2,79.2
