team,season,player_name,position,games_played,goals,assists,points,ppg,toi_per_game,is_star
COL,2021,Nathan MacKinnon,C,48,20,45,65,1.35,21.5,1
COL,2021,Mikko Rantanen,RW,52,30,36,66,1.27,20.0,1
COL,2021,Cale Makar,D,44,8,36,44,1.00,24.0,1
TOR,2021,Auston Matthews,C,52,41,25,66,1.27,21.0,1
TOR,2021,Mitch Marner,RW,55,20,47,67,1.22,20.5,1
EDM,2021,Connor McDavid,C,56,33,72,105,1.88,22.5,1
EDM,2021,Leon Draisaitl,C,56,31,53,84,1.50,21.5,1
TB,2021,Brayden Point,C,56,23,25,48,0.86,18.5,1
TB,2021,Nikita Kucherov,RW,0,0,0,0,0.00,0.0,0
VGK,2021,Mark Stone,RW,55,21,40,61,1.11,18.5,1
VGK,2021,Max Pacioretty,LW,48,24,27,51,1.06,18.0,1
CAR,2021,Sebastian Aho,C,56,24,33,57,1.02,19.5,1
CAR,2021,Andrei Svechnikov,RW,55,18,24,42,0.76,17.5,1
FLA,2021,Aleksander Barkov,C,50,26,32,58,1.16,20.0,1
FLA,2021,Jonathan Huberdeau,LW,55,20,41,61,1.11,19.0,1
PIT,2021,Sidney Crosby,C,55,24,38,62,1.13,20.0,1
PIT,2021,Jake Guentzel,LW,56,23,33,56,1.00,18.0,1
NYI,2021,Mathew Barzal,C,55,17,28,45,0.82,19.0,1
NYI,2021,Brock Nelson,C,56,18,18,36,0.64,17.5,0
BOS,2021,David Pastrnak,RW,48,20,28,48,1.00,18.5,1
BOS,2021,Brad Marchand,LW,53,29,40,69,1.30,18.5,1
WSH,2021,Alex Ovechkin,LW,45,24,18,42,0.93,18.0,1
WSH,2021,TJ Oshie,RW,53,22,21,43,0.81,17.5,1
MIN,2021,Kirill Kaprizov,LW,55,27,24,51,0.93,18.5,1
STL,2021,Jordan Kyrou,C,55,14,21,35,0.64,16.5,0
DAL,2021,Joe Pavelski,C,56,25,32,57,1.02,18.0,1
CHI,2021,Patrick Kane,RW,56,15,51,66,1.18,19.0,1
CHI,2021,Alex DeBrincat,LW,52,32,24,56,1.08,17.5,1
NYR,2021,Artemi Panarin,LW,42,17,41,58,1.38,19.5,1
MTL,2021,Tyler Toffoli,LW,52,28,16,44,0.85,17.5,1
WPG,2021,Kyle Connor,LW,56,26,24,50,0.89,19.0,1
WPG,2021,Mark Scheifele,C,56,21,42,63,1.13,20.0,1
NJ,2021,Jack Hughes,C,56,11,20,31,0.55,16.5,0
VAN,2021,JT Miller,C,54,15,32,47,0.87,19.0,1
BUF,2021,Sam Reinhart,C,54,25,15,40,0.74,18.0,0
CGY,2021,Johnny Gaudreau,LW,56,19,30,49,0.88,18.0,1
LA,2021,Anze Kopitar,C,56,14,36,50,0.89,19.5,1
NSH,2021,Filip Forsberg,LW,53,14,16,30,0.57,17.5,0
OTT,2021,Brady Tkachuk,LW,56,17,19,36,0.64,17.5,0
ANA,2021,Rickard Rakell,LW,52,12,19,31,0.60,17.0,0
PHI,2021,Claude Giroux,C,54,13,26,39,0.72,18.5,0
SJ,2021,Tomas Hertl,C,50,19,24,43,0.86,18.0,0
DET,2021,Dylan Larkin,C,44,9,14,23,0.52,19.0,0
ARI,2021,Phil Kessel,RW,56,20,23,43,0.77,17.5,0
CBJ,2021,Patrik Laine,LW,45,21,30,51,1.13,18.0,1
SEA,2021,N/A,N/A,0,0,0,0,0.00,0.0,0
