team,season,games_played,wins,losses,ot_losses,points,goals_for,goals_against,home_wins,home_losses,home_ot_losses,away_wins,away_losses,away_ot_losses,made_playoffs,won_cup
WSH,2016,82,56,18,8,120,252,193,30,6,5,26,12,3,1,0
DAL,2016,82,50,23,9,109,267,230,28,10,3,22,13,6,1,0
STL,2016,82,49,24,9,107,224,201,27,10,4,22,14,5,1,0
CHI,2016,82,47,26,9,103,235,209,25,12,4,22,14,5,1,0
PIT,2016,82,48,26,8,104,245,203,26,11,4,22,15,4,1,1
LAK,2016,82,48,28,6,102,225,195,26,13,2,22,15,4,1,0
ANA,2016,82,46,25,11,103,218,192,24,10,7,22,15,4,1,0
NYR,2016,82,46,27,9,101,236,217,25,12,4,21,15,5,1,0
SJS,2016,82,46,30,6,98,241,210,27,12,2,19,18,4,1,0
FLA,2016,82,47,26,9,103,239,203,28,9,4,19,17,5,1,0
TBL,2016,82,46,31,5,97,227,201,26,13,2,20,18,3,1,0
NSH,2016,82,41,27,14,96,228,215,22,13,6,19,14,8,1,0
NYI,2016,82,45,27,10,100,232,216,25,12,4,20,15,6,1,0
PHI,2016,82,41,27,14,96,214,218,23,13,5,18,14,9,1,0
DET,2016,82,41,30,11,93,211,224,24,12,5,17,18,6,1,0
MIN,2016,82,38,33,11,87,216,206,21,15,5,17,18,6,1,0
COL,2016,82,39,39,4,82,216,240,22,17,2,17,22,2,0,0
BOS,2016,82,42,31,9,93,240,230,26,11,4,16,20,5,0,0
NJD,2016,82,38,36,8,84,184,208,21,16,4,17,20,4,0,0
OTT,2016,82,38,35,9,85,236,247,20,17,4,18,18,5,0,0
CAR,2016,82,35,31,16,86,198,226,20,14,7,15,17,9,0,0
MTL,2016,82,38,38,6,82,221,236,22,16,3,16,22,3,0,0
ARI,2016,82,35,39,8,78,209,245,19,19,3,16,20,5,0,0
CGY,2016,82,35,40,7,77,231,260,20,18,3,15,22,4,0,0
WPG,2016,82,35,39,8,78,215,239,22,16,3,13,23,5,0,0
VAN,2016,82,31,38,13,75,191,243,17,19,5,14,19,8,0,0
BUF,2016,82,35,36,11,81,201,222,19,17,5,16,19,6,0,0
CBJ,2016,82,34,40,8,76,219,252,18,20,3,16,20,5,0,0
EDM,2016,82,31,43,8,70,203,245,16,22,3,15,21,5,0,0
TOR,2016,82,29,42,11,69,198,246,16,21,4,13,21,7,0,0
