team,season,last_10_wins,last_10_losses,last_10_ot_losses,last_10_gf,last_10_ga,streak_type,streak_length
COL,2024,7,2,1,35,24,W,3
FLA,2024,8,1,1,32,20,W,5
VGK,2024,6,3,1,28,25,L,1
EDM,2024,7,2,1,36,26,W,4
DAL,2024,7,3,0,29,22,W,2
NYR,2024,8,2,0,33,21,W,3
CAR,2024,7,2,1,30,22,W,2
TOR,2024,6,3,1,28,26,L,1
TB,2024,6,4,0,30,28,W,1
BOS,2024,5,4,1,26,27,L,2
MIN,2024,5,4,1,24,25,L,1
WPG,2024,7,3,0,31,24,W,3
VAN,2024,8,2,0,34,22,W,4
NSH,2024,4,5,1,22,28,L,3
STL,2024,4,5,1,23,29,L,2
LAK,2024,6,3,1,27,24,W,2
PIT,2024,4,5,1,25,30,L,1
NJ,2024,5,4,1,27,26,W,1
PHI,2024,4,5,1,24,28,L,2
NYI,2024,5,4,1,25,27,W,1
WSH,2024,5,4,1,26,26,W,2
BUF,2024,4,5,1,23,29,L,2
DET,2024,5,4,1,27,28,W,1
OTT,2024,4,5,1,25,30,L,1
ARI,2024,3,6,1,20,32,L,4
MTL,2024,3,6,1,21,31,L,3
CGY,2024,4,5,1,24,29,L,1
ANA,2024,3,6,1,19,31,L,2
CHI,2024,2,7,1,18,35,L,5
CBJ,2024,3,6,1,22,33,L,2
SJ,2024,2,7,1,17,36,L,4
SEA,2024,4,5,1,24,28,L,1
