team,season,one_goal_wins,one_goal_losses,ot_wins,ot_losses,so_wins,so_losses,comeback_wins,blown_leads,trailing_after_2_wins
WSH,2016,19,7,5,2,4,4,13,4,10
DAL,2016,16,10,5,4,3,4,10,6,7
STL,2016,17,9,5,3,3,5,11,5,8
CHI,2016,15,11,4,4,4,4,9,7,6
PIT,2016,16,10,4,3,5,4,10,6,7
LAK,2016,16,10,4,3,4,4,10,6,7
ANA,2016,18,8,6,4,3,5,12,4,9
NYR,2016,15,11,4,4,4,4,9,7,6
SJS,2016,14,11,3,4,4,3,8,7,5
FLA,2016,16,10,5,4,3,4,10,6,7
TBL,2016,14,11,3,4,4,3,8,7,5
NSH,2016,17,10,6,5,3,6,11,6,8
NYI,2016,16,10,5,4,3,5,10,6,7
PHI,2016,17,10,6,5,3,6,11,6,8
DET,2016,15,12,5,5,3,5,9,8,6
MIN,2016,15,12,5,5,3,5,9,8,6
COL,2016,12,13,3,4,3,3,7,9,4
BOS,2016,15,12,5,5,2,5,9,8,6
NJD,2016,13,12,4,4,3,5,8,8,5
OTT,2016,14,12,5,5,2,5,9,8,6
CAR,2016,15,13,6,6,4,6,9,9,6
MTL,2016,12,13,3,4,3,4,7,9,4
ARI,2016,13,13,4,5,3,5,8,9,5
CGY,2016,13,13,4,5,2,5,8,9,5
WPG,2016,13,13,4,5,2,5,8,9,5
VAN,2016,13,14,5,6,3,6,8,10,5
BUF,2016,14,13,5,5,3,6,9,9,6
CBJ,2016,12,14,4,5,2,5,7,10,4
EDM,2016,11,14,3,5,3,5,6,10,3
TOR,2016,12,14,5,5,2,6,7,10,4
