team,season,situation,cf_pct,ff_pct,xgf,xga,xgf_pct,hdcf_pct,shooting_pct,save_pct,pdo,gsax,pp_pct,pk_pct
MTL,2015,all,51.2,51.5,212,182,53.8,51.8,9.2,0.922,101.4,15.5,19.5,85.2
TBL,2015,all,53.5,53.8,252,202,55.5,54.2,9.8,0.916,101.4,10.8,23.5,82.8
NYR,2015,all,52.8,53.2,242,185,56.7,53.5,9.5,0.923,101.8,18.2,21.8,85.5
STL,2015,all,53.8,54.2,242,195,55.4,54.5,9.4,0.918,101.2,13.5,20.5,84.2
NSH,2015,all,52.5,52.8,225,202,52.7,53.2,9.2,0.916,100.8,9.8,19.2,83.8
CHI,2015,all,54.5,54.8,228,182,55.6,55.2,9.0,0.922,101.2,18.5,17.8,86.5
ANA,2015,all,53.2,53.5,232,192,54.7,53.8,9.2,0.919,101.1,14.2,19.5,84.5
VAN,2015,all,50.8,51.2,235,218,51.9,50.5,9.4,0.912,100.6,5.8,19.8,81.5
WPG,2015,all,50.2,50.5,225,212,51.5,50.8,9.2,0.913,100.5,6.2,18.8,82.5
MIN,2015,all,51.5,51.8,228,198,53.5,51.2,9.1,0.918,100.9,11.5,18.5,84.5
CGY,2015,all,50.5,50.8,235,212,52.6,50.2,9.3,0.912,100.5,5.5,20.2,81.8
WSH,2015,all,51.8,52.2,238,198,54.6,52.5,9.3,0.916,100.9,10.2,20.8,83.5
NYI,2015,all,50.2,50.5,228,212,51.8,50.8,9.2,0.913,100.5,6.5,18.5,82.8
DET,2015,all,49.5,49.8,232,218,51.6,49.2,9.1,0.912,100.3,5.2,19.2,82.2
OTT,2015,all,48.8,49.2,232,212,52.3,48.5,9.3,0.914,100.7,7.5,19.8,82.5
PIT,2015,all,51.2,51.5,218,205,51.5,51.8,9.0,0.913,100.3,5.8,18.2,82.8
BOS,2015,all,52.2,52.5,212,208,50.5,52.8,9.0,0.913,100.3,5.5,17.5,82.8
FLA,2015,all,48.5,48.8,202,218,48.1,48.2,9.0,0.910,100.0,2.5,17.2,81.8
LAK,2015,all,52.5,52.8,218,202,51.9,53.2,9.0,0.916,100.6,9.2,17.5,84.2
SJS,2015,all,52.8,52.5,228,228,50.0,52.5,9.0,0.908,99.8,0.5,18.8,80.5
COL,2015,all,48.2,48.5,218,225,49.2,47.8,9.0,0.906,99.6,-1.2,18.5,79.8
NJD,2015,all,47.5,47.8,178,212,45.6,47.2,8.6,0.912,99.8,4.5,15.2,83.5
DAL,2015,all,49.8,50.2,252,255,49.7,49.5,9.5,0.902,99.7,-4.5,21.5,77.2
PHI,2015,all,49.2,49.5,212,232,47.7,48.8,9.0,0.905,99.5,-2.2,18.2,80.2
CBJ,2015,all,50.5,50.8,232,245,48.6,50.2,9.2,0.902,99.4,-4.8,19.5,78.2
CAR,2015,all,47.2,47.5,185,222,45.5,46.8,8.8,0.908,99.6,-0.8,16.2,82.2
TOR,2015,all,46.8,47.2,205,258,44.3,46.5,9.0,0.898,98.8,-8.2,17.5,77.5
EDM,2015,all,45.5,45.8,195,275,41.5,45.2,8.8,0.895,98.3,-12.5,16.2,76.2
ARI,2015,all,45.2,45.5,168,268,38.5,44.8,8.5,0.896,98.1,-11.8,14.5,77.8
BUF,2015,all,44.8,45.2,158,272,36.7,44.5,8.2,0.895,97.7,-13.2,13.8,77.5
