team,season,situation,cf_pct,ff_pct,xgf,xga,xgf_pct,hdcf_pct,shooting_pct,save_pct,pdo,gsax,pp_pct,pk_pct
NSH,2018,all,53.8,53.5,248,195,56.0,54.2,9.8,0.921,100.9,18.2,21.5,84.8
WPG,2018,all,52.5,52.8,255,205,55.4,53.1,10.2,0.916,101.8,12.5,24.2,82.5
TBL,2018,all,54.5,54.2,272,218,55.5,54.8,10.5,0.914,101.9,10.8,26.5,81.2
BOS,2018,all,53.2,53.5,252,198,56.0,53.5,9.8,0.920,101.8,16.5,23.8,84.5
VGK,2018,all,52.8,52.5,255,212,54.6,52.8,10.0,0.914,100.4,9.2,24.5,82.2
TOR,2018,all,51.5,51.8,258,222,53.8,51.2,10.2,0.910,101.2,5.5,23.2,79.8
MIN,2018,all,50.8,51.2,238,218,52.2,51.5,9.6,0.912,100.8,6.8,20.5,82.5
SJS,2018,all,51.2,51.5,238,218,52.2,51.8,9.5,0.911,100.6,5.2,19.8,81.5
LAK,2018,all,52.5,52.2,225,192,54.0,52.8,9.2,0.920,101.2,15.5,18.5,85.2
ANA,2018,all,51.5,51.8,222,205,52.0,51.5,9.4,0.915,100.9,8.8,19.2,83.5
PIT,2018,all,51.8,52.2,255,235,52.0,51.5,10.2,0.908,100.0,1.5,23.5,79.2
WSH,2018,all,51.2,51.5,245,228,51.8,51.2,9.8,0.912,100.0,6.2,23.2,81.8
PHI,2018,all,50.2,50.5,238,232,50.6,50.5,9.6,0.908,99.4,0.8,21.5,79.5
COL,2018,all,50.5,50.8,242,225,51.8,50.2,9.8,0.909,99.7,2.5,18.8,80.2
NJD,2018,all,49.8,50.2,235,232,50.3,49.8,9.6,0.908,99.4,0.5,20.8,79.8
CBJ,2018,all,50.5,50.8,232,222,51.1,50.5,9.4,0.912,99.6,5.5,19.5,82.2
FLA,2018,all,49.5,49.8,238,238,50.0,49.2,9.5,0.905,99.0,-2.5,20.5,78.2
STL,2018,all,50.2,50.5,218,215,50.3,50.8,9.3,0.912,100.5,5.8,18.2,82.8
DAL,2018,all,50.8,50.5,225,218,50.8,51.2,9.2,0.911,100.3,4.5,17.8,82.5
CAR,2018,all,49.2,49.5,218,238,47.8,48.8,9.4,0.904,98.8,-3.5,18.5,79.2
CHI,2018,all,49.5,49.8,218,238,47.8,49.2,9.5,0.902,98.7,-5.2,18.8,78.5
NYI,2018,all,48.2,48.5,248,275,47.4,47.8,10.2,0.892,99.4,-12.5,20.5,74.5
CGY,2018,all,48.5,48.8,208,235,46.9,48.2,9.3,0.905,98.8,-4.2,17.2,80.2
NYR,2018,all,48.8,49.2,222,248,47.2,48.5,9.4,0.900,98.4,-7.5,18.5,77.8
EDM,2018,all,49.2,49.5,222,245,47.5,48.8,9.4,0.902,98.6,-5.8,19.2,77.5
VAN,2018,all,47.5,47.8,205,245,45.5,47.2,9.2,0.902,98.4,-5.5,16.8,79.5
DET,2018,all,47.8,48.2,205,238,46.3,47.5,9.3,0.905,98.8,-3.8,17.5,80.5
MTL,2018,all,47.2,47.5,198,245,44.7,46.8,9.0,0.902,98.2,-5.2,16.2,79.2
OTT,2018,all,46.5,46.8,208,268,43.7,46.2,9.2,0.895,97.7,-10.5,16.5,76.2
BUF,2018,all,45.8,46.2,188,258,42.2,45.5,8.8,0.898,97.6,-9.2,15.2,77.5
ARI,2018,all,47.2,47.5,198,238,45.4,46.8,9.0,0.905,98.5,-3.5,15.8,80.8
