team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
COL,2022,+500,0.167,−400,0.800,1,1
TBL,2022,+700,0.125,−350,0.778,1,0
FLA,2022,+900,0.100,−300,0.750,1,0
TOR,2022,+1000,0.091,−280,0.737,1,0
CAR,2022,+1000,0.091,−280,0.737,1,0
CGY,2022,+1200,0.077,−250,0.714,1,0
NYR,2022,+1400,0.067,−200,0.667,1,0
MIN,2022,+1400,0.067,−200,0.667,1,0
EDM,2022,+1400,0.067,−220,0.688,1,0
PIT,2022,+1600,0.059,−180,0.643,1,0
BOS,2022,+1600,0.059,−180,0.643,1,0
STL,2022,+1800,0.053,−160,0.615,1,0
VGK,2022,+2000,0.048,−140,0.583,0,0
WSH,2022,+2000,0.048,−150,0.600,1,0
DAL,2022,+2200,0.043,−130,0.565,1,0
NSH,2022,+2500,0.038,−120,0.545,1,0
LAK,2022,+2500,0.038,−110,0.524,1,0
WPG,2022,+3000,0.032,+100,0.500,0,0
NYI,2022,+3500,0.028,+110,0.476,0,0
VAN,2022,+4000,0.024,+130,0.435,0,0
NJD,2022,+5000,0.020,+160,0.385,0,0
DET,2022,+6000,0.016,+200,0.333,0,0
BUF,2022,+6000,0.016,+220,0.313,0,0
OTT,2022,+6000,0.016,+200,0.333,0,0
PHI,2022,+8000,0.012,+250,0.286,0,0
CHI,2022,+8000,0.012,+280,0.263,0,0
ANA,2022,+10000,0.010,+300,0.250,0,0
SJ,2022,+10000,0.010,+280,0.263,0,0
CBJ,2022,+12000,0.008,+320,0.238,0,0
SEA,2022,+12000,0.008,+350,0.222,0,0
MTL,2022,+15000,0.007,+400,0.200,0,0
ARI,2022,+20000,0.005,+500,0.167,0,0
