team,season,one_goal_wins,one_goal_losses,ot_wins,ot_losses,so_wins,so_losses,comeback_wins,blown_leads,trailing_after_2_wins
ANA,2013,15,11,4,7,4,2,8,4,5
ARI,2013,9,13,4,6,4,2,9,7,6
BOS,2013,15,13,5,3,4,4,10,5,8
BUF,2013,14,16,7,3,2,1,8,4,5
CGY,2013,14,14,3,8,2,2,5,6,6
CAR,2013,8,11,5,3,6,4,9,6,3
CHI,2013,21,20,10,7,4,5,10,7,7
COL,2013,14,10,2,5,4,3,4,10,7
CBJ,2013,8,11,7,8,6,4,6,4,5
DAL,2013,12,14,6,7,5,5,8,6,7
DET,2013,16,19,9,9,2,5,10,10,5
EDM,2013,14,15,4,3,6,4,7,7,6
FLA,2013,14,14,6,7,6,1,6,7,8
LAK,2013,13,12,5,8,6,5,11,6,4
MIN,2013,15,11,6,4,6,2,10,10,2
MTL,2013,20,17,5,8,6,1,6,9,4
NSH,2013,13,12,5,6,6,5,4,4,7
NJD,2013,10,19,4,8,2,1,8,5,5
NYI,2013,16,19,7,5,2,3,7,6,3
NYR,2013,18,14,8,7,4,1,8,10,6
OTT,2013,17,11,5,7,6,1,8,9,6
PHI,2013,11,13,3,8,6,2,7,7,7
PIT,2013,18,17,5,4,5,3,10,12,8
SJS,2013,20,15,6,4,6,2,10,7,3
STL,2013,20,19,4,9,4,4,7,11,5
TBL,2013,8,18,2,9,3,3,5,8,8
TOR,2013,13,16,7,4,5,2,6,5,3
VAN,2013,13,19,9,5,2,1,12,5,3
WSH,2013,18,20,5,10,3,3,8,9,6
WPG,2013,15,17,6,6,2,4,3,9,8
