team,season,cf_pct,xgf_pct,hdcf_pct,gsax,pp_pct,pk_pct,pdo,home_games,home_win_pct,away_games,away_win_pct
ANA,2010,53.1,50.29,53.24,11.52,16.01,80.39,100.79,41,51.29,41,54.54
ARI,2010,45.34,47.61,45.22,-15.15,21.05,81.92,102.79,41,59.68,41,49.72
BOS,2010,49.3,45.9,48.45,5.07,22.82,83.26,102.99,41,60.12,41,43.8
BUF,2010,49.81,50.52,45.03,9.73,20.56,82.61,98.87,41,50.65,41,37.81
CGY,2010,44.5,49.63,51.49,7.02,14.1,77.86,97.17,41,64.65,41,43.88
CAR,2010,48.65,45.35,53.66,-10.71,18.82,80.19,100.09,41,61.43,41,44.88
CHI,2010,55.2,53.15,56.14,24.07,19.06,86.67,100.4,41,71.77,41,48.05
COL,2010,52.07,48.25,46.78,12.98,20.2,81.55,99.63,41,63.37,41,46.38
CBJ,2010,49.19,50.49,44.53,-2.42,22.42,78.8,102.74,41,56.94,41,38.79
DAL,2010,50.8,47.21,47.64,12.33,22.91,78.68,101.66,41,37.4,41,32.0
DET,2010,45.06,47.35,45.66,9.41,19.1,84.5,102.75,41,37.15,41,51.27
EDM,2010,47.67,46.64,45.24,-5.31,14.57,78.8,98.39,41,44.09,41,41.85
FLA,2010,50.7,52.67,47.17,-6.19,21.6,87.19,98.56,41,55.12,41,35.12
LAK,2010,47.09,52.43,53.53,10.38,14.63,80.4,101.88,41,48.19,41,41.4
MIN,2010,48.44,52.27,45.32,-6.9,22.68,87.47,99.48,41,60.08,41,46.88
MTL,2010,52.17,45.75,52.83,-4.54,17.7,77.13,98.97,41,64.97,41,39.48
NSH,2010,48.76,44.76,47.85,-5.56,14.32,84.7,99.98,41,52.75,41,48.7
NJD,2010,53.38,51.35,49.08,-0.45,19.21,76.82,100.95,41,43.4,41,51.23
NYI,2010,47.58,44.38,49.69,-8.62,17.85,76.81,99.41,41,42.23,41,54.98
NYR,2010,50.94,51.81,45.94,-18.91,20.78,76.72,100.28,41,51.4,41,36.86
OTT,2010,51.65,47.81,46.42,-5.57,16.33,80.82,100.41,41,35.82,41,48.76
PHI,2010,52.13,52.53,52.74,5.53,21.36,84.55,102.02,41,65.31,41,45.79
PIT,2010,51.64,53.7,50.01,10.7,20.2,79.93,102.5,41,60.94,41,35.91
SJS,2010,53.99,50.51,44.22,10.95,19.84,77.66,98.3,41,46.21,41,52.15
STL,2010,52.12,49.47,50.86,-7.59,17.27,80.44,101.45,41,53.54,41,36.96
TBL,2010,50.22,52.77,47.36,-17.95,18.08,81.49,99.61,41,64.61,41,37.59
TOR,2010,44.32,51.08,53.11,9.67,21.13,76.77,101.16,41,45.45,41,49.38
VAN,2010,52.61,51.58,48.92,9.54,20.5,83.0,97.31,41,54.14,41,41.18
WSH,2010,49.21,45.33,44.06,-5.19,21.26,83.79,101.4,41,55.43,41,43.54
WPG,2010,46.44,45.61,52.61,-5.16,22.36,84.62,99.84,41,53.3,41,48.19
