team,season,one_goal_wins,one_goal_losses,ot_wins,ot_losses,so_wins,so_losses,comeback_wins,blown_leads,trailing_after_2_wins
ANA,2012,14,11,5,6,2,3,5,7,6
ARI,2012,19,18,7,9,6,3,6,4,2
BOS,2012,16,14,5,8,3,3,10,11,8
BUF,2012,14,13,4,9,5,3,7,5,4
CGY,2012,9,12,6,6,5,3,5,8,3
CAR,2012,16,12,3,4,5,5,6,4,6
CHI,2012,20,12,9,7,5,4,8,11,3
COL,2012,9,11,2,6,4,2,9,8,8
CBJ,2012,15,16,5,7,4,1,9,12,5
DAL,2012,15,10,6,3,3,2,5,6,6
DET,2012,15,13,6,4,5,5,10,8,6
EDM,2012,14,18,3,3,6,2,7,12,2
FLA,2012,12,12,6,7,5,1,11,9,7
LAK,2012,16,18,8,4,6,3,13,12,7
MIN,2012,16,12,2,10,2,3,4,10,8
MTL,2012,8,19,4,4,5,2,8,6,4
NSH,2012,14,12,6,4,3,3,11,4,2
NJD,2012,13,16,7,3,3,5,9,9,7
NYI,2012,14,15,4,5,5,1,3,12,5
NYR,2012,20,16,4,7,6,4,6,12,4
OTT,2012,17,13,7,6,5,5,8,4,3
PHI,2012,14,14,7,8,3,3,10,9,5
PIT,2012,13,14,6,3,2,4,9,5,6
SJS,2012,16,11,9,10,6,5,8,5,6
STL,2012,20,17,7,3,2,5,11,4,6
TBL,2012,9,15,2,8,5,5,8,12,4
TOR,2012,14,20,3,4,2,1,4,11,5
VAN,2012,18,15,9,6,3,1,5,10,7
WSH,2012,12,16,9,7,5,5,10,9,8
WPG,2012,8,18,5,6,5,4,9,6,6
