team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
ANA,2012,10000,0.0099,500,0.1667,False,False
ARI,2012,4000,0.0244,-150,0.6,True,False
BOS,2012,3000,0.0323,-300,0.75,True,False
BUF,2012,15000,0.0066,300,0.25,False,False
CGY,2012,6000,0.0164,300,0.25,False,False
CAR,2012,5000,0.0196,500,0.1667,False,False
CHI,2012,2000,0.0476,150,0.4,True,False
COL,2012,6000,0.0164,300,0.25,False,False
CBJ,2012,8000,0.0123,150,0.4,False,False
DAL,2012,10000,0.0099,300,0.25,False,False
DET,2012,2500,0.0385,150,0.4,True,False
EDM,2012,8000,0.0123,150,0.4,False,False
FLA,2012,1500,0.0625,150,0.4,True,False
LAK,2012,1200,0.0769,-150,0.6,True,True
MIN,2012,6000,0.0164,300,0.25,False,False
MTL,2012,6000,0.0164,500,0.1667,False,False
NSH,2012,2000,0.0476,-150,0.6,True,False
NJD,2012,800,0.1111,-150,0.6,True,False
NYI,2012,15000,0.0066,200,0.3333,False,False
NYR,2012,3000,0.0323,-150,0.6,True,False
OTT,2012,4000,0.0244,-120,0.5455,True,False
PHI,2012,2500,0.0385,-200,0.6667,True,False
PIT,2012,2500,0.0385,100,0.5,True,False
SJS,2012,4000,0.0244,100,0.5,True,False
STL,2012,2500,0.0385,-300,0.75,True,False
TBL,2012,10000,0.0099,150,0.4,False,False
TOR,2012,10000,0.0099,500,0.1667,False,False
VAN,2012,3000,0.0323,-150,0.6,True,False
WSH,2012,1500,0.0625,-300,0.75,True,False
WPG,2012,6000,0.0164,500,0.1667,False,False
