team,season,situation,cf_pct,ff_pct,xgf,xga,xgf_pct,hdcf_pct,shooting_pct,save_pct,pdo,gsax,pp_pct,pk_pct
TB,2021,all,52.8,52.4,168.5,128.4,56.8,53.2,10.1,0.925,102.6,14.5,23.8,84.2
COL,2021,all,55.5,55.2,188.4,128.2,59.5,56.1,9.9,0.928,102.7,18.2,22.5,85.8
VGK,2021,all,54.2,53.8,178.5,118.4,60.1,54.5,10.1,0.932,103.3,22.5,24.2,87.2
CAR,2021,all,56.8,56.4,172.4,128.5,57.3,57.2,9.9,0.925,102.4,15.8,24.5,83.8
FLA,2021,all,52.5,52.2,168.4,138.5,54.9,52.8,10.1,0.918,101.9,8.2,24.8,80.5
TOR,2021,all,53.2,52.8,178.2,142.4,55.6,53.5,9.9,0.916,101.5,6.5,23.2,79.8
EDM,2021,all,50.8,50.4,168.5,148.2,53.2,51.2,10.0,0.912,101.2,3.8,28.2,78.5
PIT,2021,all,52.4,52.1,178.4,145.2,55.1,52.8,10.0,0.918,101.8,8.5,24.5,81.2
WPG,2021,all,48.5,48.2,152.4,158.5,49.0,48.8,10.1,0.912,101.2,3.2,22.8,80.8
NYI,2021,all,47.8,47.4,138.5,115.2,54.6,48.2,10.1,0.932,103.3,18.5,18.5,86.5
BOS,2021,all,53.5,53.2,158.4,128.5,55.2,53.8,10.0,0.922,102.2,12.5,22.5,83.5
WSH,2021,all,51.2,50.8,178.2,148.5,54.6,51.5,9.9,0.916,101.5,5.8,25.5,80.2
MIN,2021,all,52.8,52.4,168.4,135.2,55.5,53.2,9.9,0.922,102.1,12.2,20.5,84.2
STL,2021,all,50.5,50.2,162.4,168.5,49.1,50.8,10.0,0.908,100.8,-1.5,21.8,79.5
NSH,2021,all,48.8,48.4,145.2,152.4,48.8,49.2,9.9,0.912,100.9,2.5,19.8,81.2
MTL,2021,all,47.2,46.8,148.5,162.4,47.8,47.5,10.1,0.908,100.9,-0.5,18.5,79.8
DAL,2021,all,48.5,48.2,128.4,132.5,49.2,48.8,10.2,0.918,101.9,6.8,18.2,82.5
CHI,2021,all,47.8,47.4,148.5,168.2,46.9,48.2,10.0,0.902,100.2,-4.8,20.5,78.2
NYR,2021,all,49.5,49.2,168.2,145.5,53.6,49.8,9.9,0.918,101.6,8.2,20.2,82.8
PHI,2021,all,48.2,47.8,155.4,185.2,45.6,48.5,10.0,0.898,99.8,-8.5,19.5,77.5
LA,2021,all,47.5,47.2,128.4,162.5,44.1,47.8,9.9,0.908,100.6,0.5,17.8,80.5
CGY,2021,all,49.2,48.8,145.2,158.4,47.8,49.5,9.9,0.910,100.8,1.2,18.5,79.8
SJ,2021,all,46.5,46.2,135.4,182.5,42.6,46.8,9.9,0.895,99.3,-10.5,17.2,76.8
ARI,2021,all,47.8,47.4,138.5,162.4,46.0,48.1,10.1,0.905,100.5,-2.5,18.8,78.5
VAN,2021,all,48.5,48.2,142.4,178.5,44.4,48.8,9.9,0.898,99.6,-6.8,19.2,77.2
NJ,2021,all,45.8,45.4,128.4,178.5,41.8,46.2,10.0,0.892,99.1,-11.5,17.5,75.8
DET,2021,all,46.2,45.8,118.5,158.4,42.8,46.5,10.0,0.900,99.9,-5.8,17.2,78.2
CBJ,2021,all,47.5,47.2,122.4,168.5,42.1,47.8,9.9,0.895,99.3,-9.2,18.5,76.5
OTT,2021,all,47.2,46.8,138.5,172.4,44.6,47.5,10.0,0.898,99.7,-6.5,19.5,77.8
BUF,2021,all,44.5,44.2,118.4,185.2,39.0,44.8,10.0,0.882,98.1,-18.5,16.8,74.2
ANA,2021,all,45.2,44.8,112.4,172.5,39.5,45.5,9.9,0.888,98.6,-14.2,16.5,75.5
SEA,2021,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0
