team,season,playoff_games_3yr,playoff_series_3yr,playoff_rounds_3yr,playoff_appearances_3yr,conf_finals_5yr,cup_finals_5yr,cups_won_5yr,current_rounds_won,current_games_won,current_games_lost
ANA,2016,36,6,3,3,1,0,0,0,3,4
ARI,2016,0,0,0,0,0,0,0,0,0,0
BOS,2016,32,6,4,2,2,2,1,0,0,0
BUF,2016,0,0,0,0,0,0,0,0,0,0
CGY,2016,9,2,1,1,0,0,0,0,0,0
CAR,2016,0,0,0,0,0,0,0,0,0,0
CHI,2016,62,13,10,3,3,2,2,0,3,4
COL,2016,7,1,0,1,0,0,0,0,0,0
CBJ,2016,6,1,0,1,0,0,0,0,0,0
DAL,2016,6,1,0,1,0,0,0,1,6,6
DET,2016,23,4,1,3,0,0,0,0,1,4
EDM,2016,0,0,0,0,0,0,0,0,0,0
FLA,2016,0,0,0,0,0,0,0,1,2,4
LAK,2016,41,8,6,2,3,2,2,0,1,4
MIN,2016,29,5,2,3,0,0,0,0,2,4
MTL,2016,29,6,3,3,1,0,0,0,0,0
NSH,2016,6,1,0,1,0,0,0,0,3,4
NJD,2016,0,0,0,0,1,1,0,0,0,0
NYI,2016,13,2,0,2,0,0,0,1,7,6
NYR,2016,52,9,6,3,3,1,0,0,1,4
OTT,2016,15,3,1,2,0,0,0,0,0,0
PHI,2016,7,1,0,1,0,0,0,0,2,4
PIT,2016,31,6,3,3,1,0,0,4,16,8
SJS,2016,16,3,1,2,1,0,0,3,14,10
STL,2016,18,3,0,3,0,0,0,2,10,8
TBL,2016,26,5,3,2,2,1,0,2,11,7
TOR,2016,7,1,0,1,0,0,0,0,0,0
VAN,2016,10,2,0,2,1,1,0,0,0,0
WSH,2016,19,3,1,2,0,0,0,1,6,6
WPG,2016,4,1,0,1,0,0,0,0,0,0
