team,season,player_name,position,games_played,goals,assists,points,ppg,toi_per_game,is_star
MTL,2015,Max Pacioretty,LW,80,37,30,67,0.84,18.8,1
MTL,2015,P.K. Subban,D,82,15,45,60,0.73,24.5,1
TBL,2015,Steven Stamkos,C,82,43,29,72,0.88,18.5,1
TBL,2015,Nikita Kucherov,RW,82,28,36,64,0.78,17.5,1
NYR,2015,Rick Nash,LW,79,42,27,69,0.87,18.5,1
NYR,2015,Keith Yandle,D,82,9,42,51,0.62,23.5,1
STL,2015,Vladimir Tarasenko,RW,77,37,36,73,0.95,18.2,1
STL,2015,Jaden Schwartz,LW,75,28,35,63,0.84,17.8,1
NSH,2015,James Neal,LW,67,23,18,41,0.61,17.2,1
NSH,2015,Filip Forsberg,LW,82,26,37,63,0.77,17.8,1
CHI,2015,Patrick Kane,RW,61,27,37,64,1.05,19.5,1
CHI,2015,Jonathan Toews,C,81,28,38,66,0.81,19.2,1
ANA,2015,Ryan Getzlaf,C,77,25,45,70,0.91,20.5,1
ANA,2015,Corey Perry,RW,67,33,21,54,0.81,17.5,1
VAN,2015,Daniel Sedin,LW,82,20,56,76,0.93,19.2,1
VAN,2015,Henrik Sedin,C,82,18,55,73,0.89,19.5,1
WPG,2015,Blake Wheeler,RW,82,26,38,64,0.78,19.8,1
MIN,2015,Jason Pominville,RW,82,18,36,54,0.66,17.5,1
CGY,2015,Johnny Gaudreau,LW,80,24,40,64,0.80,16.5,1
WSH,2015,Alex Ovechkin,LW,81,53,28,81,1.00,20.5,1
WSH,2015,Nicklas Backstrom,C,82,18,60,78,0.95,19.8,1
NYI,2015,John Tavares,C,82,38,48,86,1.05,20.5,1
DET,2015,Pavel Datsyuk,C,63,26,33,59,0.94,18.8,1
OTT,2015,Erik Karlsson,D,82,21,45,66,0.80,27.2,1
PIT,2015,Sidney Crosby,C,77,28,56,84,1.09,20.2,1
PIT,2015,Evgeni Malkin,C,69,28,42,70,1.01,19.5,1
BOS,2015,Brad Marchand,LW,77,24,18,42,0.55,17.2,1
SJS,2015,Joe Pavelski,C,82,37,33,70,0.85,19.0,1
DAL,2015,Tyler Seguin,C,71,37,40,77,1.08,19.5,1
CHI,2015,Duncan Keith,D,80,10,35,45,0.56,24.8,1
EDM,2015,Taylor Hall,LW,53,14,24,38,0.72,18.5,1
