team,season,one_goal_wins,one_goal_losses,ot_wins,ot_losses,so_wins,so_losses,comeback_wins,blown_leads,trailing_after_2_wins
WSH,2017,19,7,5,2,4,4,13,4,10
PIT,2017,17,9,6,4,3,4,11,5,8
CHI,2017,16,10,5,3,3,4,10,6,7
CBJ,2017,17,9,5,3,3,4,11,5,8
MIN,2017,16,10,4,3,4,4,10,6,7
ANA,2017,18,8,7,4,2,5,12,4,9
MTL,2017,15,11,4,4,4,4,9,7,6
EDM,2017,15,11,4,4,4,4,9,7,6
SJS,2017,14,11,3,4,5,4,8,7,5
OTT,2017,15,11,5,4,3,5,9,7,6
NYR,2017,13,11,3,4,4,3,8,7,5
BOS,2017,14,11,4,4,3,4,8,7,5
STL,2017,14,11,4,4,3,4,8,7,5
TOR,2017,13,12,5,5,4,5,8,8,5
CGY,2017,13,11,3,3,3,3,8,7,5
NSH,2017,15,11,5,5,3,5,9,7,6
TBL,2017,14,12,4,5,3,4,8,8,5
NYI,2017,14,12,5,5,3,5,8,8,5
FLA,2017,12,13,4,5,3,5,7,9,4
LAK,2017,13,12,4,4,2,5,8,8,5
PHI,2017,13,12,4,5,3,5,8,8,5
CAR,2017,13,13,5,6,3,6,8,9,5
DAL,2017,11,14,4,5,3,6,6,10,3
BUF,2017,12,13,4,5,3,6,7,9,4
WPG,2017,12,12,3,4,4,4,7,8,4
DET,2017,12,14,5,6,2,5,7,10,4
VAN,2017,10,15,3,5,3,6,5,11,2
ARI,2017,11,14,4,5,2,6,6,10,3
NJD,2017,10,15,4,6,3,6,5,11,2
COL,2017,6,18,1,4,2,4,2,14,0
