team,season,playoff_games_3yr,playoff_series_3yr,playoff_rounds_3yr,playoff_appearances_3yr,conf_finals_5yr,cup_finals_5yr,cups_won_5yr,current_rounds_won,current_games_won,current_games_lost
ANA,2020,21,4,2,2,2,0,0,0,0,0
ARI,2020,0,0,0,0,0,0,0,0,1,4
BOS,2020,40,7,4,3,1,1,0,1,8,5
BUF,2020,0,0,0,0,0,0,0,0,0,0
CGY,2020,9,2,0,2,0,0,0,0,2,4
CAR,2020,15,3,2,1,1,0,0,0,2,4
CHI,2020,4,1,0,1,1,1,1,0,1,4
COL,2020,18,3,1,2,0,0,0,1,6,5
CBJ,2020,22,4,1,3,0,0,0,0,0,0
DAL,2020,12,2,1,1,0,0,0,3,14,11
DET,2020,0,0,0,0,0,0,0,0,0,0
EDM,2020,12,2,1,1,0,0,0,0,0,0
FLA,2020,5,1,0,1,0,0,0,0,0,0
LAK,2020,0,0,0,0,0,0,0,0,0,0
MIN,2020,10,2,0,2,0,0,0,0,0,0
MTL,2020,6,1,0,1,0,0,0,0,6,4
NSH,2020,42,7,4,3,1,1,0,0,0,0
NJD,2020,9,2,1,1,0,0,0,0,0,0
NYI,2020,9,2,1,1,0,0,0,2,10,7
NYR,2020,12,2,1,1,1,0,0,0,0,0
OTT,2020,21,3,2,1,1,0,0,0,0,0
PHI,2020,6,1,0,1,0,0,0,1,7,6
PIT,2020,38,8,5,3,2,2,2,0,0,0
SJS,2020,32,5,2,3,2,1,0,0,0,0
STL,2020,36,7,5,2,2,1,1,0,2,4
TBL,2020,21,4,2,2,3,1,0,4,16,5
TOR,2020,20,3,0,3,0,0,0,0,2,4
VAN,2020,0,0,0,0,0,0,0,1,10,7
WSH,2020,42,8,5,3,1,1,1,0,1,4
WPG,2020,23,4,2,2,1,0,0,0,0,0
VGK,2020,29,5,3,2,1,1,0,2,11,6
