team,season,player_name,position,games_played,goals,assists,points,ppg,toi_per_game,is_star
NSH,2018,P.K. Subban,D,82,16,43,59,0.72,24.8,1
NSH,2018,Filip Forsberg,LW,67,26,38,64,0.96,18.2,1
WPG,2018,Blake Wheeler,RW,81,23,68,91,1.12,20.5,1
WPG,2018,Mark Scheifele,C,82,23,37,60,0.73,18.5,1
TBL,2018,Nikita Kucherov,RW,80,39,61,100,1.25,19.5,1
TBL,2018,Steven Stamkos,C,78,27,59,86,1.10,18.8,1
BOS,2018,Brad Marchand,LW,68,34,51,85,1.25,19.2,1
BOS,2018,David Pastrnak,RW,82,35,45,80,0.98,18.2,1
VGK,2018,William Karlsson,C,82,43,35,78,0.95,18.8,1
VGK,2018,Jonathan Marchessault,LW,77,27,48,75,0.97,18.5,1
TOR,2018,Auston Matthews,C,62,34,29,63,1.02,18.5,1
TOR,2018,Mitch Marner,RW,82,22,47,69,0.84,17.8,1
MIN,2018,Eric Staal,C,82,42,34,76,0.93,18.5,1
SJS,2018,Brent Burns,D,82,12,55,67,0.82,25.5,1
LAK,2018,Anze Kopitar,C,82,35,57,92,1.12,20.8,1
ANA,2018,Rickard Rakell,LW,77,34,35,69,0.90,18.2,1
PIT,2018,Sidney Crosby,C,82,29,60,89,1.09,20.2,1
PIT,2018,Evgeni Malkin,C,78,42,56,98,1.26,19.5,1
WSH,2018,Alex Ovechkin,LW,82,49,38,87,1.06,19.5,1
WSH,2018,Evgeny Kuznetsov,C,79,27,56,83,1.05,18.8,1
PHI,2018,Claude Giroux,C,82,34,68,102,1.24,20.5,1
COL,2018,Nathan MacKinnon,C,74,39,58,97,1.31,21.2,1
NJD,2018,Taylor Hall,LW,76,39,54,93,1.22,19.5,1
CBJ,2018,Artemi Panarin,LW,81,27,55,82,1.01,18.5,1
EDM,2018,Connor McDavid,C,82,41,67,108,1.32,21.8,1
CHI,2018,Patrick Kane,RW,82,27,49,76,0.93,20.5,1
DAL,2018,Tyler Seguin,C,82,40,38,78,0.95,19.0,1
FLA,2018,Aleksander Barkov,C,79,27,51,78,0.99,19.5,1
STL,2018,Vladimir Tarasenko,RW,80,33,35,68,0.85,18.5,1
CGY,2018,Johnny Gaudreau,LW,80,24,60,84,1.05,18.2,1
