team,season,one_goal_wins,one_goal_losses,ot_wins,ot_losses,so_wins,so_losses,comeback_wins,blown_leads,trailing_after_2_wins
NSH,2018,19,7,6,3,3,4,13,4,10
WPG,2018,17,9,5,3,4,4,11,5,8
TBL,2018,16,10,4,2,4,3,10,6,7
BOS,2018,18,8,6,3,3,5,12,5,9
VGK,2018,17,9,5,3,3,3,11,5,8
TOR,2018,14,11,3,4,4,4,9,7,6
MIN,2018,16,10,5,4,2,5,10,6,7
SJS,2018,15,11,4,4,4,4,9,7,6
LAK,2018,15,10,4,3,4,5,9,6,6
ANA,2018,16,10,6,4,2,5,10,6,7
PIT,2018,14,11,3,4,4,4,8,7,5
WSH,2018,15,11,4,4,3,4,9,7,6
PHI,2018,15,11,5,5,2,5,9,7,6
COL,2018,14,11,4,4,3,5,8,7,5
NJD,2018,14,11,4,4,3,5,8,7,5
CBJ,2018,13,11,3,4,4,4,8,7,5
FLA,2018,13,12,3,4,4,5,8,8,5
STL,2018,12,12,3,4,3,4,7,8,4
DAL,2018,13,12,4,4,2,5,8,8,5
CAR,2018,12,13,4,5,2,5,7,9,4
CHI,2018,11,14,3,5,3,5,6,10,3
NYI,2018,12,13,4,5,2,5,7,9,4
CGY,2018,13,12,4,5,2,5,8,8,5
NYR,2018,12,13,3,5,3,5,7,9,4
EDM,2018,11,14,2,5,3,4,6,10,3
VAN,2018,11,14,3,5,3,6,6,10,3
DET,2018,11,14,4,6,2,5,6,10,3
MTL,2018,10,15,4,6,2,5,5,11,2
OTT,2018,10,15,3,5,3,6,5,11,2
BUF,2018,9,16,3,6,2,6,4,12,2
ARI,2018,11,14,4,5,2,6,6,10,3
