team,season,one_goal_wins,one_goal_losses,ot_wins,ot_losses,so_wins,so_losses,comeback_wins,blown_leads,trailing_after_2_wins
ANA,2011,14,10,5,9,2,2,6,12,8
ARI,2011,20,17,4,7,3,3,5,7,5
BOS,2011,19,11,9,4,4,2,13,6,8
BUF,2011,15,19,5,8,4,1,6,4,6
CGY,2011,13,19,4,3,6,5,8,12,8
CAR,2011,13,20,5,4,2,4,7,6,6
CHI,2011,18,16,5,4,4,5,10,9,2
COL,2011,8,10,6,8,5,3,9,9,8
CBJ,2011,12,14,3,8,5,5,7,6,2
DAL,2011,16,20,4,3,2,3,4,6,4
DET,2011,18,11,9,4,3,3,11,8,2
EDM,2011,12,15,3,10,6,4,7,12,5
FLA,2011,13,11,6,9,4,5,5,4,3
LAK,2011,18,13,5,5,5,2,5,4,2
MIN,2011,12,19,6,9,2,5,6,6,5
MTL,2011,13,14,7,9,2,5,8,6,7
NSH,2011,14,14,7,4,3,4,8,4,3
NJD,2011,12,14,6,3,6,5,8,4,6
NYI,2011,16,12,7,9,6,4,4,12,7
NYR,2011,19,19,8,8,5,3,5,6,6
OTT,2011,8,16,4,5,5,3,6,6,4
PHI,2011,19,13,5,3,3,1,11,6,7
PIT,2011,19,20,5,10,4,1,12,9,8
SJS,2011,17,12,6,7,6,4,11,12,6
STL,2011,12,12,3,4,2,5,5,9,8
TBL,2011,12,20,9,10,3,3,10,5,2
TOR,2011,12,17,3,3,3,5,8,12,3
VAN,2011,17,17,5,7,5,4,9,10,3
WSH,2011,13,19,7,6,3,2,6,4,4
WPG,2011,12,12,5,6,4,5,6,4,3
