team,season,one_goal_wins,one_goal_losses,ot_wins,ot_losses,so_wins,so_losses,comeback_wins,blown_leads,trailing_after_2_wins
TBL,2019,21,5,5,1,4,2,15,3,11
CGY,2019,16,10,4,3,4,3,10,6,7
BOS,2019,17,9,5,3,3,4,11,5,8
WSH,2019,15,11,4,4,3,4,9,7,6
NYI,2019,18,8,5,2,3,4,12,4,9
SJS,2019,14,11,4,4,4,4,8,7,5
TOR,2019,15,11,4,4,3,4,9,6,6
NSH,2019,14,10,4,3,3,4,9,6,6
WPG,2019,15,10,4,3,3,4,10,5,7
STL,2019,17,9,6,3,2,4,11,5,8
CAR,2019,16,10,4,3,4,4,10,6,7
PIT,2019,14,11,4,5,4,4,8,7,5
COL,2019,12,13,4,5,4,5,7,9,4
DAL,2019,15,10,4,3,4,5,9,6,6
CBJ,2019,14,10,4,3,3,3,9,6,6
VGK,2019,13,11,3,4,4,4,8,7,5
MIN,2019,12,13,3,5,3,5,7,9,4
ARI,2019,13,12,4,4,2,5,8,8,5
FLA,2019,11,14,3,5,4,6,6,10,3
PHI,2019,12,13,3,5,3,5,7,9,4
VAN,2019,11,14,3,5,3,6,6,10,3
EDM,2019,11,14,3,5,2,5,6,10,3
BUF,2019,11,14,3,5,3,5,6,10,3
MTL,2019,14,11,4,4,3,4,9,7,6
DET,2019,10,15,3,5,2,6,5,11,2
ANA,2019,11,14,3,5,3,6,6,10,3
CHI,2019,12,13,4,5,2,5,7,9,4
NYR,2019,11,14,3,6,3,5,6,10,3
NJD,2019,10,15,3,5,2,6,5,11,2
OTT,2019,8,17,2,5,2,5,3,13,1
LAK,2019,10,15,3,5,2,6,5,11,2
