team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
CHI,2015,+450,0.182,−420,0.808,1,1
LAK,2015,+550,0.154,−380,0.792,0,0
PIT,2015,+700,0.125,−320,0.762,1,0
ANA,2015,+800,0.111,−300,0.750,1,0
TBL,2015,+800,0.111,−300,0.750,1,0
BOS,2015,+900,0.100,−280,0.737,0,0
NYR,2015,+1000,0.091,−280,0.737,1,0
STL,2015,+1000,0.091,−280,0.737,1,0
SJS,2015,+1200,0.077,−250,0.714,0,0
MTL,2015,+1200,0.077,−220,0.688,1,0
NSH,2015,+1400,0.067,−200,0.667,1,0
WSH,2015,+1400,0.067,−200,0.667,1,0
MIN,2015,+1600,0.059,−180,0.643,1,0
DET,2015,+1600,0.059,−180,0.643,1,0
DAL,2015,+1800,0.053,−160,0.615,0,0
NYI,2015,+1800,0.053,−160,0.615,1,0
VAN,2015,+2000,0.048,−140,0.583,1,0
CGY,2015,+2000,0.048,−150,0.600,1,0
WPG,2015,+2200,0.043,−130,0.565,1,0
OTT,2015,+2500,0.038,−120,0.545,1,0
PHI,2015,+3000,0.032,+100,0.500,0,0
COL,2015,+3000,0.032,+110,0.476,0,0
FLA,2015,+3500,0.028,+130,0.435,0,0
CBJ,2015,+4000,0.024,+150,0.400,0,0
NJD,2015,+5000,0.020,+180,0.357,0,0
CAR,2015,+6000,0.016,+220,0.313,0,0
TOR,2015,+8000,0.012,+280,0.263,0,0
EDM,2015,+10000,0.010,+320,0.238,0,0
ARI,2015,+15000,0.007,+400,0.200,0,0
BUF,2015,+20000,0.005,+500,0.167,0,0
