team,season,last_10_wins,last_10_losses,last_10_ot_losses,last_10_gf,last_10_ga,streak_type,streak_length
MTL,2015,6,3,1,26,22,W,2
TBL,2015,6,3,1,30,24,W,2
NYR,2015,7,2,1,28,20,W,3
STL,2015,6,3,1,28,22,W,2
NSH,2015,5,4,1,26,24,W,1
CHI,2015,6,3,1,26,22,W,2
ANA,2015,7,2,1,26,20,W,4
VAN,2015,5,4,1,26,26,W,1
WPG,2015,5,4,1,28,28,L,1
MIN,2015,6,3,1,26,22,W,2
CGY,2015,5,4,1,28,28,W,1
WSH,2015,5,4,1,30,28,W,1
NYI,2015,5,4,1,28,28,W,1
DET,2015,5,4,1,28,28,L,1
OTT,2015,5,4,1,30,28,W,2
PIT,2015,5,4,1,28,28,L,2
BOS,2015,4,5,1,26,28,L,1
FLA,2015,4,5,1,26,30,L,2
LAK,2015,5,4,1,26,26,W,1
SJS,2015,4,5,1,30,32,L,1
COL,2015,4,5,1,28,30,L,2
NJD,2015,4,5,1,22,26,L,1
DAL,2015,4,5,1,36,38,L,1
PHI,2015,4,5,1,28,32,L,2
CBJ,2015,4,5,1,32,36,L,1
CAR,2015,3,6,1,24,32,L,3
TOR,2015,3,6,1,28,36,L,2
EDM,2015,2,7,1,24,38,L,4
ARI,2015,2,7,1,20,36,L,5
BUF,2015,2,7,1,20,40,L,6
