team,season,cup_odds_american,cup_implied_prob,playoff_odds_american,playoff_implied_prob,actual_made_playoffs,actual_won_cup
CHI,2016,+450,0.182,−420,0.808,1,0
PIT,2016,+600,0.143,−350,0.778,1,1
WSH,2016,+600,0.143,−380,0.792,1,0
TBL,2016,+800,0.111,−300,0.750,1,0
LAK,2016,+900,0.100,−280,0.737,1,0
DAL,2016,+1000,0.091,−280,0.737,1,0
NYR,2016,+1000,0.091,−250,0.714,1,0
ANA,2016,+1200,0.077,−220,0.688,1,0
STL,2016,+1200,0.077,−250,0.714,1,0
SJS,2016,+1400,0.067,−200,0.667,1,0
DET,2016,+1400,0.067,−200,0.667,1,0
NSH,2016,+1600,0.059,−180,0.643,1,0
FLA,2016,+1600,0.059,−180,0.643,1,0
MIN,2016,+1800,0.053,−160,0.615,1,0
NYI,2016,+1800,0.053,−160,0.615,1,0
BOS,2016,+2000,0.048,−140,0.583,0,0
PHI,2016,+2200,0.043,−130,0.565,1,0
MTL,2016,+2500,0.038,−120,0.545,0,0
COL,2016,+2800,0.034,−110,0.524,0,0
NJD,2016,+3000,0.032,+100,0.500,0,0
WPG,2016,+3500,0.028,+110,0.476,0,0
OTT,2016,+4000,0.024,+130,0.435,0,0
CGY,2016,+4000,0.024,+140,0.417,0,0
VAN,2016,+4500,0.022,+160,0.385,0,0
CAR,2016,+5000,0.020,+180,0.357,0,0
CBJ,2016,+6000,0.016,+200,0.333,0,0
ARI,2016,+8000,0.012,+250,0.286,0,0
BUF,2016,+10000,0.010,+300,0.250,0,0
EDM,2016,+12000,0.008,+350,0.222,0,0
TOR,2016,+15000,0.007,+400,0.200,0,0
