team,season,player,games,goals,assists,points
ANA,2012,ANA Player 1,75,25,48,73
ANA,2012,ANA Player 2,72,27,22,49
ANA,2012,ANA Player 3,71,17,29,46
ANA,2012,ANA Player 4,76,20,20,40
ANA,2012,ANA Player 5,76,27,23,50
ARI,2012,ARI Player 1,79,38,52,90
ARI,2012,ARI Player 2,73,25,44,69
ARI,2012,ARI Player 3,70,28,25,53
BOS,2012,Zdeno Chara,81,43,45,88
BOS,2012,Patrice Bergeron,77,29,24,53
BOS,2012,David Krejci,76,18,33,51
BOS,2012,BOS Player 4,74,21,29,50
BOS,2012,BOS Player 5,80,29,24,53
BUF,2012,BUF Player 1,75,28,54,82
BUF,2012,BUF Player 2,72,21,42,63
BUF,2012,BUF Player 3,78,28,29,57
CGY,2012,CGY Player 1,76,44,47,91
CGY,2012,CGY Player 2,70,22,38,60
CGY,2012,CGY Player 3,75,17,39,56
CGY,2012,CGY Player 4,73,29,42,71
CGY,2012,CGY Player 5,76,21,27,48
CAR,2012,CAR Player 1,76,33,49,82
CAR,2012,CAR Player 2,75,26,37,63
CAR,2012,CAR Player 3,73,23,23,46
CHI,2012,Patrick Kane,73,35,43,78
CHI,2012,Jonathan Toews,74,29,41,70
CHI,2012,Marian Hossa,71,23,38,61
COL,2012,COL Player 1,71,39,50,89
COL,2012,COL Player 2,75,29,32,61
COL,2012,COL Player 3,81,30,24,54
COL,2012,COL Player 4,79,34,34,68
CBJ,2012,CBJ Player 1,80,44,53,97
CBJ,2012,CBJ Player 2,78,27,28,55
CBJ,2012,CBJ Player 3,80,15,35,50
CBJ,2012,CBJ Player 4,74,23,38,61
DAL,2012,DAL Player 1,78,31,33,64
DAL,2012,DAL Player 2,74,28,20,48
DAL,2012,DAL Player 3,80,24,24,48
DET,2012,Pavel Datsyuk,73,44,37,81
DET,2012,Henrik Zetterberg,78,19,43,62
DET,2012,Nicklas Lidstrom,72,29,23,52
EDM,2012,EDM Player 1,73,37,34,71
EDM,2012,EDM Player 2,78,34,31,65
EDM,2012,EDM Player 3,78,25,24,49
EDM,2012,EDM Player 4,80,33,37,70
EDM,2012,EDM Player 5,75,24,29,53
FLA,2012,FLA Player 1,80,28,48,76
FLA,2012,FLA Player 2,81,33,39,72
FLA,2012,FLA Player 3,75,22,43,65
FLA,2012,FLA Player 4,73,23,20,43
FLA,2012,FLA Player 5,80,21,33,54
LAK,2012,Anze Kopitar,78,39,44,83
LAK,2012,Drew Doughty,76,19,29,48
LAK,2012,Jeff Carter,71,17,38,55
LAK,2012,LAK Player 4,74,20,29,49
LAK,2012,LAK Player 5,71,19,25,44
MIN,2012,MIN Player 1,71,35,52,87
MIN,2012,MIN Player 2,80,29,30,59
MIN,2012,MIN Player 3,80,28,20,48
MIN,2012,MIN Player 4,74,27,24,51
MIN,2012,MIN Player 5,79,34,22,56
MTL,2012,MTL Player 1,72,29,32,61
MTL,2012,MTL Player 2,72,32,42,74
MTL,2012,MTL Player 3,75,27,21,48
MTL,2012,MTL Player 4,81,18,23,41
MTL,2012,MTL Player 5,78,19,41,60
NSH,2012,NSH Player 1,78,38,40,78
NSH,2012,NSH Player 2,73,20,24,44
NSH,2012,NSH Player 3,81,20,40,60
NSH,2012,NSH Player 4,81,31,22,53
NJD,2012,NJD Player 1,73,31,45,76
NJD,2012,NJD Player 2,74,22,31,53
NJD,2012,NJD Player 3,71,16,28,44
NJD,2012,NJD Player 4,80,16,21,37
NJD,2012,NJD Player 5,73,16,29,45
NYI,2012,NYI Player 1,80,31,50,81
NYI,2012,NYI Player 2,74,33,34,67
NYI,2012,NYI Player 3,78,27,42,69
NYI,2012,NYI Player 4,81,19,43,62
NYR,2012,NYR Player 1,78,42,49,91
NYR,2012,NYR Player 2,73,34,39,73
NYR,2012,NYR Player 3,74,31,38,69
OTT,2012,OTT Player 1,81,36,43,79
OTT,2012,OTT Player 2,71,25,20,45
OTT,2012,OTT Player 3,77,29,29,58
PHI,2012,PHI Player 1,79,40,46,86
PHI,2012,PHI Player 2,70,15,26,41
PHI,2012,PHI Player 3,75,22,44,66
PHI,2012,PHI Player 4,70,29,41,70
PHI,2012,PHI Player 5,72,25,40,65
PIT,2012,Sidney Crosby,73,34,44,78
PIT,2012,Evgeni Malkin,78,32,38,70
PIT,2012,Kris Letang,76,18,25,43
SJS,2012,Joe Thornton,76,36,42,78
SJS,2012,Patrick Marleau,79,26,20,46
SJS,2012,Logan Couture,76,22,27,49
SJS,2012,SJS Player 4,81,19,40,59
SJS,2012,SJS Player 5,81,29,31,60
STL,2012,STL Player 1,71,36,51,87
STL,2012,STL Player 2,72,33,32,65
STL,2012,STL Player 3,80,33,31,64
STL,2012,STL Player 4,70,25,42,67
STL,2012,STL Player 5,81,17,33,50
TBL,2012,TBL Player 1,72,31,43,74
TBL,2012,TBL Player 2,79,19,35,54
TBL,2012,TBL Player 3,78,22,30,52
TBL,2012,TBL Player 4,72,25,24,49
TOR,2012,TOR Player 1,75,37,47,84
TOR,2012,TOR Player 2,78,18,21,39
TOR,2012,TOR Player 3,77,24,40,64
VAN,2012,Henrik Sedin,74,34,34,68
VAN,2012,Daniel Sedin,80,27,44,71
VAN,2012,Ryan Kesler,75,26,31,57
WSH,2012,Alexander Ovechkin,72,37,31,68
WSH,2012,Nicklas Backstrom,74,15,34,49
WSH,2012,Mike Green,80,21,37,58
WSH,2012,WSH Player 4,70,33,31,64
WSH,2012,WSH Player 5,70,19,26,45
WPG,2012,WPG Player 1,81,43,34,77
WPG,2012,WPG Player 2,73,33,26,59
WPG,2012,WPG Player 3,75,32,33,65
