team,team_name,season,games_played,wins,losses,ot_losses,points,points_pct,goals_for,goals_against,goal_differential,home_wins,home_losses,home_ot_losses,away_wins,away_losses,away_ot_losses,made_playoffs,won_cup
TB,Tampa Bay Lightning,2020,70,43,21,6,92,0.657,245,195,50,22,11,2,21,10,4,1,1
BOS,Boston Bruins,2020,70,44,14,12,100,0.714,227,174,53,24,5,6,20,9,6,1,0
COL,Colorado Avalanche,2020,70,42,20,8,92,0.657,237,191,46,23,8,4,19,12,4,1,0
STL,St. Louis Blues,2020,71,42,19,10,94,0.662,225,193,32,20,11,4,22,8,6,1,0
DAL,Dallas Stars,2020,69,37,24,8,82,0.594,180,177,3,20,10,5,17,14,3,1,0
VGK,Vegas Golden Knights,2020,71,39,24,8,86,0.606,227,203,24,22,10,3,17,14,5,1,0
WSH,Washington Capitals,2020,69,41,20,8,90,0.652,240,215,25,22,9,4,19,11,4,1,0
PHI,Philadelphia Flyers,2020,69,41,21,7,89,0.645,232,196,36,24,8,3,17,13,4,1,0
CAR,Carolina Hurricanes,2020,68,38,25,5,81,0.596,215,193,22,19,12,4,19,13,1,1,0
EDM,Edmonton Oilers,2020,71,37,25,9,83,0.585,225,217,8,20,10,5,17,15,4,1,0
TOR,Toronto Maple Leafs,2020,70,36,25,9,81,0.579,238,227,11,18,13,4,18,12,5,1,0
PIT,Pittsburgh Penguins,2020,69,40,23,6,86,0.623,224,196,28,22,10,3,18,13,3,1,0
NYI,New York Islanders,2020,68,35,23,10,80,0.588,192,183,9,19,9,7,16,14,3,1,0
FLA,Florida Panthers,2020,69,35,26,8,78,0.565,231,228,3,17,13,5,18,13,3,1,0
NSH,Nashville Predators,2020,69,35,26,8,78,0.565,215,217,-2,19,12,4,16,14,4,1,0
CGY,Calgary Flames,2020,70,36,27,7,79,0.564,210,215,-5,19,12,4,17,15,3,1,0
WPG,Winnipeg Jets,2020,71,37,28,6,80,0.563,216,211,5,21,12,2,16,16,4,1,0
VAN,Vancouver Canucks,2020,69,36,27,6,78,0.565,228,217,11,19,14,2,17,13,4,1,0
MIN,Minnesota Wild,2020,69,35,27,7,77,0.558,220,220,0,19,11,5,16,16,2,1,0
ARI,Arizona Coyotes,2020,70,33,29,8,74,0.529,195,207,-12,17,14,4,16,15,4,1,0
CHI,Chicago Blackhawks,2020,70,32,30,8,72,0.514,212,218,-6,17,14,4,15,16,4,1,0
NYR,New York Rangers,2020,70,37,28,5,79,0.564,234,222,12,20,12,3,17,16,2,1,0
MTL,Montreal Canadiens,2020,71,31,31,9,71,0.500,212,221,-9,18,13,4,13,18,5,1,0
CBJ,Columbus Blue Jackets,2020,70,33,22,15,81,0.579,180,183,-3,17,11,7,16,11,8,0,0
BUF,Buffalo Sabres,2020,69,30,31,8,68,0.493,195,217,-22,18,13,4,12,18,4,0,0
NJ,New Jersey Devils,2020,69,28,29,12,68,0.493,189,230,-41,16,13,6,12,16,6,0,0
ANA,Anaheim Ducks,2020,71,29,33,9,67,0.472,187,226,-39,16,16,3,13,17,6,0,0
SJ,San Jose Sharks,2020,70,29,36,5,63,0.450,182,226,-44,18,15,2,11,21,3,0,0
LA,Los Angeles Kings,2020,70,29,35,6,64,0.457,178,212,-34,17,16,2,12,19,4,0,0
OTT,Ottawa Senators,2020,71,25,34,12,62,0.437,191,243,-52,13,17,5,12,17,7,0,0
DET,Detroit Red Wings,2020,71,17,49,5,39,0.275,145,267,-122,11,22,2,6,27,3,0,0
SEA,Seattle Kraken,2020,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0
