team,season,playoff_games_3yr,playoff_series_3yr,playoff_rounds_3yr,playoff_appearances_3yr,conf_finals_5yr,cup_finals_5yr,cups_won_5yr,current_rounds_won,current_games_won,current_games_lost
ANA,2021,4,1,0,1,1,0,0,0,0,0
ARI,2021,5,1,0,1,0,0,0,0,0,0
BOS,2021,47,8,5,3,1,1,0,1,5,5
BUF,2021,0,0,0,0,0,0,0,0,0,0
CGY,2021,11,2,0,2,0,0,0,0,0,0
CAR,2021,21,4,2,2,1,0,0,1,5,5
CHI,2021,5,1,0,1,0,0,0,0,0,0
COL,2021,29,5,2,3,0,0,0,1,6,4
CBJ,2021,17,3,1,2,0,0,0,0,0,0
DAL,2021,37,6,4,2,1,1,0,0,0,0
DET,2021,0,0,0,0,0,0,0,0,0,0
EDM,2021,0,0,0,0,0,0,0,0,0,4
FLA,2021,5,1,0,1,0,0,0,0,2,4
LAK,2021,0,0,0,0,0,0,0,0,0,0
MIN,2021,5,1,0,1,0,0,0,0,3,4
MTL,2021,10,1,0,1,0,0,0,3,12,9
NSH,2021,18,3,1,2,1,1,0,0,2,4
NJD,2021,9,2,1,1,0,0,0,0,0,0
NYI,2021,26,5,3,2,1,0,0,2,11,8
NYR,2021,0,0,0,0,0,0,0,0,0,0
OTT,2021,0,0,0,0,1,0,0,0,0,0
PHI,2021,19,3,1,2,0,0,0,0,0,0
PIT,2021,13,3,1,2,2,2,2,0,2,4
SJS,2021,26,4,2,2,2,1,0,0,0,0
STL,2021,32,6,4,2,2,1,1,0,0,4
TBL,2021,42,9,6,3,3,1,1,4,16,5
TOR,2021,20,3,0,3,0,0,0,0,3,4
VAN,2021,17,2,1,1,0,0,0,0,0,0
WSH,2021,35,7,4,3,1,1,1,0,1,4
WPG,2021,23,4,2,2,1,0,0,1,4,4
VGK,2021,46,8,5,3,2,1,0,2,10,6
