team,season,player,games,goals,assists,points
ANA,2010,ANA Player 1,79,25,35,60
ANA,2010,ANA Player 2,80,31,38,69
ANA,2010,ANA Player 3,81,15,28,43
ANA,2010,ANA Player 4,75,20,40,60
ANA,2010,ANA Player 5,75,25,33,58
ARI,2010,ARI Player 1,72,28,45,73
ARI,2010,ARI Player 2,72,29,34,63
ARI,2010,ARI Player 3,80,19,22,41
BOS,2010,Zdeno Chara,75,31,35,66
BOS,2010,Patrice Bergeron,80,20,26,46
BOS,2010,David Krejci,76,34,21,55
BOS,2010,BOS Player 4,76,17,44,61
BUF,2010,BUF Player 1,76,40,41,81
BUF,2010,BUF Player 2,72,26,39,65
BUF,2010,BUF Player 3,81,31,37,68
CGY,2010,CGY Player 1,80,29,48,77
CGY,2010,CGY Player 2,72,20,44,64
CGY,2010,CGY Player 3,76,16,22,38
CAR,2010,CAR Player 1,81,28,34,62
CAR,2010,CAR Player 2,81,17,44,61
CAR,2010,CAR Player 3,79,30,28,58
CHI,2010,Patrick Kane,74,39,64,103
CHI,2010,Jonathan Toews,74,21,24,45
CHI,2010,Marian Hossa,74,21,41,62
CHI,2010,CHI Player 4,73,19,26,45
COL,2010,COL Player 1,74,39,30,69
COL,2010,COL Player 2,76,23,40,63
COL,2010,COL Player 3,73,29,26,55
CBJ,2010,CBJ Player 1,77,41,40,81
CBJ,2010,CBJ Player 2,75,28,35,63
CBJ,2010,CBJ Player 3,81,17,27,44
CBJ,2010,CBJ Player 4,81,29,44,73
DAL,2010,DAL Player 1,78,36,35,71
DAL,2010,DAL Player 2,81,25,26,51
DAL,2010,DAL Player 3,75,25,30,55
DAL,2010,DAL Player 4,77,23,28,51
DET,2010,Pavel Datsyuk,70,43,31,74
DET,2010,Henrik Zetterberg,81,15,39,54
DET,2010,Nicklas Lidstrom,73,19,20,39
DET,2010,DET Player 4,76,27,40,67
DET,2010,DET Player 5,77,18,37,55
EDM,2010,EDM Player 1,77,40,31,71
EDM,2010,EDM Player 2,72,32,33,65
EDM,2010,EDM Player 3,79,28,36,64
EDM,2010,EDM Player 4,81,15,37,52
FLA,2010,FLA Player 1,71,42,32,74
FLA,2010,FLA Player 2,81,21,38,59
FLA,2010,FLA Player 3,76,30,41,71
FLA,2010,FLA Player 4,76,28,39,67
FLA,2010,FLA Player 5,76,17,30,47
LAK,2010,Anze Kopitar,74,41,45,86
LAK,2010,Drew Doughty,79,25,20,45
LAK,2010,Jeff Carter,73,28,25,53
LAK,2010,LAK Player 4,79,26,29,55
MIN,2010,MIN Player 1,80,38,43,81
MIN,2010,MIN Player 2,76,32,22,54
MIN,2010,MIN Player 3,73,19,27,46
MIN,2010,MIN Player 4,73,18,33,51
MIN,2010,MIN Player 5,70,29,31,60
MTL,2010,MTL Player 1,77,43,43,86
MTL,2010,MTL Player 2,70,18,43,61
MTL,2010,MTL Player 3,80,29,38,67
MTL,2010,MTL Player 4,75,20,22,42
MTL,2010,MTL Player 5,74,15,24,39
NSH,2010,NSH Player 1,77,26,47,73
NSH,2010,NSH Player 2,81,15,33,48
NSH,2010,NSH Player 3,71,28,25,53
NSH,2010,NSH Player 4,72,18,24,42
NSH,2010,NSH Player 5,77,19,38,57
NJD,2010,NJD Player 1,79,26,31,57
NJD,2010,NJD Player 2,71,15,31,46
NJD,2010,NJD Player 3,71,26,26,52
NJD,2010,NJD Player 4,77,27,42,69
NYI,2010,NYI Player 1,72,43,39,82
NYI,2010,NYI Player 2,73,22,36,58
NYI,2010,NYI Player 3,72,34,44,78
NYR,2010,NYR Player 1,78,34,35,69
NYR,2010,NYR Player 2,73,20,26,46
NYR,2010,NYR Player 3,81,30,37,67
OTT,2010,OTT Player 1,79,42,33,75
OTT,2010,OTT Player 2,76,19,32,51
OTT,2010,OTT Player 3,77,15,44,59
OTT,2010,OTT Player 4,73,31,41,72
OTT,2010,OTT Player 5,73,30,42,72
PHI,2010,PHI Player 1,78,42,43,85
PHI,2010,PHI Player 2,81,27,32,59
PHI,2010,PHI Player 3,71,24,43,67
PHI,2010,PHI Player 4,71,23,24,47
PIT,2010,Sidney Crosby,80,36,43,79
PIT,2010,Evgeni Malkin,74,30,35,65
PIT,2010,Kris Letang,76,26,39,65
PIT,2010,PIT Player 4,78,16,35,51
PIT,2010,PIT Player 5,71,24,36,60
SJS,2010,Joe Thornton,75,35,42,77
SJS,2010,Patrick Marleau,73,18,22,40
SJS,2010,Logan Couture,79,27,30,57
STL,2010,STL Player 1,71,41,33,74
STL,2010,STL Player 2,77,29,29,58
STL,2010,STL Player 3,72,25,29,54
STL,2010,STL Player 4,72,31,30,61
TBL,2010,TBL Player 1,74,42,36,78
TBL,2010,TBL Player 2,78,31,27,58
TBL,2010,TBL Player 3,77,26,30,56
TBL,2010,TBL Player 4,80,24,37,61
TBL,2010,TBL Player 5,75,21,26,47
TOR,2010,TOR Player 1,74,31,53,84
TOR,2010,TOR Player 2,75,20,40,60
TOR,2010,TOR Player 3,74,19,34,53
VAN,2010,Henrik Sedin,81,35,30,65
VAN,2010,Daniel Sedin,81,24,43,67
VAN,2010,Ryan Kesler,72,16,42,58
VAN,2010,VAN Player 4,81,26,39,65
VAN,2010,VAN Player 5,71,19,21,40
WSH,2010,Alexander Ovechkin,80,43,52,95
WSH,2010,Nicklas Backstrom,72,31,26,57
WSH,2010,Mike Green,72,16,25,41
WPG,2010,WPG Player 1,71,26,46,72
WPG,2010,WPG Player 2,76,33,26,59
WPG,2010,WPG Player 3,80,24,36,60
WPG,2010,WPG Player 4,76,28,30,58
