team,season,playoff_games_3yr,playoff_series_3yr,playoff_rounds_3yr,playoff_appearances_3yr,conf_finals_5yr,cup_finals_5yr,cups_won_5yr,current_rounds_won,current_games_won,current_games_lost
ANA,2018,40,7,4,3,2,0,0,0,0,4
ARI,2018,0,0,0,0,0,0,0,0,0,0
BOS,2018,6,1,0,1,1,1,0,1,5,5
BUF,2018,0,0,0,0,0,0,0,0,0,0
CGY,2018,13,3,1,2,0,0,0,0,0,0
CAR,2018,0,0,0,0,0,0,0,0,0,0
CHI,2018,33,7,4,3,3,2,2,0,0,0
COL,2018,0,0,0,0,0,0,0,0,2,4
CBJ,2018,5,1,0,1,0,0,0,0,2,4
DAL,2018,12,2,1,1,0,0,0,0,0,0
DET,2018,10,2,0,2,0,0,0,0,0,0
EDM,2018,12,2,1,1,0,0,0,0,0,0
FLA,2018,6,2,1,1,0,0,0,0,1,4
LAK,2018,5,1,0,1,2,1,1,0,0,0
MIN,2018,23,4,1,3,0,0,0,0,1,4
MTL,2018,15,3,1,2,1,0,0,0,0,0
NSH,2018,37,6,3,3,1,1,0,1,6,6
NJD,2018,0,0,0,0,0,0,0,1,4,5
NYI,2018,20,3,1,2,0,0,0,0,0,0
NYR,2018,35,6,3,3,2,1,0,0,0,0
OTT,2018,27,4,2,2,1,0,0,0,0,0
PHI,2018,6,1,0,1,0,0,0,0,2,4
PIT,2018,54,11,8,3,3,2,2,1,4,5
SJS,2018,30,5,3,2,1,1,0,0,2,4
STL,2018,34,6,3,3,1,0,0,0,0,0
TBL,2018,40,7,5,2,2,1,0,2,11,6
TOR,2018,6,1,0,1,0,0,0,0,3,4
VAN,2018,6,1,0,1,0,0,0,0,0,0
WSH,2018,36,6,3,3,0,0,0,4,16,7
WPG,2018,4,1,0,1,0,0,0,2,10,7
VGK,2018,0,0,0,0,0,0,0,3,13,9
